"player_name","birthday"
"Lionel Andrés Messi Cuccittini","1987-06-24"
"Cristiano Ronaldo dos Santos Aveiro","1985-02-05"
"Jan Oblak","1993-01-07"
"Kevin De Bruyne","1991-06-28"
"Neymar da Silva Santos Júnior","1992-02-05"
"Robert Lewandowski","1988-08-21"
"Alisson Ramsés Becker","1992-10-02"
"Mohamed Salah Ghaly","1992-06-15"
"Sadio Mané","1992-04-10"
"Virgil van Dijk","1991-07-08"
"Marc-André ter Stegen","1992-04-30"
"Carlos Henrique Venancio Casimiro","1992-02-23"
"Thibaut Courtois","1992-05-11"
"Manuel Neuer","1986-03-27"
"Karim Benzema","1987-12-19"
"Sergio Ramos García","1986-03-30"
"Sergio Leonel Agüero del Castillo","1988-06-02"
"N'Golo Kanté","1991-03-29"
"Joshua Kimmich","1995-02-08"
"Paulo Bruno Exequiel Dybala","1993-11-15"
"Ederson Santana de Moraes","1993-08-17"
"Raheem Shaquille Sterling","1994-12-08"
"Harry Kane","1993-07-28"
"Kalidou Koulibaly","1991-06-20"
"손흥민 孙兴慜","1992-07-08"
"Eden Hazard","1991-01-07"
"Toni Kroos","1990-01-04"
"Samir Handanovič","1984-07-14"
"Bernardo Mota Veiga de Carvalho e Silva","1994-08-10"
"Andrew Robertson","1994-03-11"
"Aymeric Laporte","1994-05-27"
"Bruno Miguel Borges Fernandes","1994-09-08"
"Fábio Henrique Tavares","1993-10-23"
"Roberto Firmino Barbosa de Oliveira","1991-10-02"
"Antoine Griezmann","1991-03-21"
"Keylor Navas Gamboa","1986-12-15"
"Ciro Immobile","1990-02-20"
"Sergio Busquets i Burgos","1988-07-16"
"Pierre-Emerick Aubameyang","1989-06-18"
"Wojciech Szczęsny","1990-04-18"
"Ángel Fabián Di María Hernández","1988-02-14"
"Luka Modrić","1985-09-09"
"Luis Alberto Suárez Díaz","1987-01-24"
"Hugo Lloris","1986-12-26"
"Giorgio Chiellini","1984-08-14"
"Jamie Vardy","1987-01-11"
"Serge Gnabry","1995-07-14"
"Daniel Carvajal Ramos","1992-01-11"
"Raphaël Varane","1993-04-25"
"Marco Verratti","1992-11-05"
"Paul Pogba","1993-03-15"
"David De Gea Quintana","1990-11-07"
"Thomas Müller","1989-09-13"
"Jordi Alba Ramos","1989-03-21"
"Jordan Brian Henderson","1990-06-17"
"Mats Hummels","1988-12-16"
"Yann Sommer","1988-12-17"
"David Josué Jiménez Silva","1986-01-08"
"Gerard Piqué Bernabéu","1987-02-02"
"Alejandro Darío Gómez","1988-02-15"
"Milan Škriniar","1995-02-11"
"Rodrigo Hernández Cascante","1996-06-22"
"Sergej Milinković-Savić","1995-02-27"
"Leroy Sané","1996-01-11"
"Clément Nicolas Laurent Lenglet","1995-06-17"
"Timo Werner","1996-03-06"
"Ricardo Domingos Barbosa Pereira","1993-10-06"
"Leon Goretzka","1995-02-06"
"Hakim Ziyech","1993-03-19"
"Marcos Aoás Corrêa","1994-05-14"
"Riyad Mahrez","1991-02-21"
"Mauro Emanuel Icardi Rivero","1993-02-19"
"Luis Alberto Romero Alconchel","1992-09-28"
"Lorenzo Insigne","1991-06-04"
"Jorge Resurrección Merodio","1992-01-08"
"Bernd Leno","1992-03-04"
"Romelu Lukaku Menama","1993-05-13"
"Alex Sandro Lobo Silva","1991-01-26"
"Christian Dannemann Eriksen","1992-02-14"
"Daniel Parejo Muñoz","1989-04-16"
"Thiago Alcântara do Nascimento","1991-04-11"
"Kyle Walker","1990-05-28"
"Marco Reus","1989-05-31"
"Péter Gulácsi","1990-05-06"
"Leonardo Bonucci","1987-05-01"
"Toby Alderweireld","1989-03-02"
"Diego Roberto Godín Leal","1986-02-16"
"Georginio Wijnaldum","1990-11-11"
"Miralem Pjanić","1990-04-02"
"Dries Mertens","1987-05-06"
"Thiago Emiliano da Silva","1984-09-22"
"Arthur Henrique Ramos de Oliveira Melo","1996-08-12"
"Onyinye Wilfred Ndidi","1996-12-16"
"André Onana","1996-04-02"
"José María Giménez de Vargas","1995-01-20"
"Marcelo Brozović","1992-11-16"
"Kingsley Coman","1996-06-13"
"Alex Nicolao Telles","1992-12-15"
"Julian Brandt","1996-05-02"
"Niklas Süle","1995-09-03"
"Anthony Martial","1995-12-05"
"Nicolás Alejandro Tagliafico","1992-08-31"
"Alejandro Grimaldo García","1995-09-20"
"Thomas Teye Partey","1993-06-13"
"Raphaël Adelino José Guerreiro","1993-12-22"
"Saúl Ñíguez Esclápez","1994-11-21"
"Felipe Augusto de Almeida Monteiro","1989-05-16"
"Marcel Sabitzer","1994-03-17"
"Raúl Alonso Jiménez Rodríguez","1991-05-05"
"Memphis Depay","1994-02-13"
"Josip Iličić","1988-01-29"
"Lucas Digne","1993-07-20"
"Wissam Ben Yedder","1990-08-12"
"Stefan de Vrij","1992-02-05"
"Luís Miguel Afonso Fernandes","1989-10-06"
"Francisco Román Alarcón Suárez","1992-04-21"
"David Olatukunbo Alaba","1992-06-24"
"Idrissa Gana Gueye","1989-09-26"
"Jesús Manuel Corona Ruíz","1993-01-06"
"Iago Aspas Juncal","1987-08-01"
"Douglas Costa de Souza","1990-09-14"
"Roman Bürki","1990-11-14"
"José María Callejón Bueno","1987-02-11"
"César Azpilicueta Tanco","1989-08-28"
"Edinson Roberto Cavani Gómez","1987-02-14"
"Rui Pedro dos Santos Patrício","1988-02-15"
"Axel Witsel","1989-01-12"
"Lucas Pezzini Leiva","1987-01-09"
"Salvatore Sirigu","1987-01-12"
"Kasper Schmeichel","1986-11-05"
"Jesús Navas González","1985-11-21"
"Fernando Luiz Rosa","1985-05-04"
"Ronaldo Jailson Cabrais Petri","1992-02-29"
"Denis Lemi Zakaria Lako Lado","1996-11-20"
"Ferland Mendy","1995-06-08"
"Nélson Cabral Semedo","1993-11-16"
"Marcos Javier Acuña","1991-10-28"
"Pau López Sabata","1994-12-13"
"Martin Dúbravka","1989-01-15"
"Diego Carlos Santos Silva","1993-03-15"
"Nabil Fekir","1993-07-18"
"Rafael Alexandre Fernandes Ferreira da Silva","1993-05-17"
"Duván Esteban Zapata Banguera","1991-04-01"
"Thomas Strakosha","1995-03-19"
"José Luís Gayà Peña","1995-05-25"
"Bamidele Alli","1996-04-11"
"João Pedro Cavaco Cancelo","1994-05-27"
"Alessio Romagnoli","1995-01-12"
"Filip Kostić","1992-11-01"
"Gerard Moreno Balagueró","1992-04-07"
"Mateo Kovačić","1994-05-06"
"Edin Višća","1990-02-17"
"Samuel Yves Umtiti","1993-11-14"
"Luiz Frello Filho Jorge","1991-12-20"
"Cristian Portugués Manzanera","1992-05-21"
"Juan Bernat Velasco","1993-03-01"
"Thorgan Hazard","1993-03-29"
"Allan Marques Loureiro","1991-01-08"
"Francesco Acerbi","1988-02-10"
"Sergio Roberto Carnicer","1992-02-07"
"Anthony Lopes","1990-10-01"
"Dušan Tadić","1988-11-20"
"Charles Mariano Aránguiz Sandoval","1989-04-17"
"Wilfried Zaha","1992-11-10"
"Joël Andre Job Matip","1991-08-08"
"Aitor Fernández Abarisketa","1991-05-03"
"Alexandre Lacazette","1991-05-28"
"Koen Casteels","1992-06-25"
"Konstantinos Manolas","1991-06-14"
"Lukáš Hrádecký","1989-11-24"
"Iker Muniain Goñi","1992-12-19"
"Philippe Coutinho Correia","1992-06-12"
"Kevin Trapp","1990-07-08"
"Oscar dos Santos Emboaba Júnior","1991-09-09"
"José Paulo Bezzera Maciel Júnior","1988-07-25"
"İlkay Gündoğan","1990-10-24"
"Kieran Trippier","1990-09-19"
"Fernando Francisco Reges","1987-07-25"
"Jérôme Boateng","1988-09-03"
"Yuri Berchiche Izeta","1990-02-10"
"Arturo Erasmo Vidal Pardo","1987-05-22"
"Edin Džeko","1986-03-17"
"Éver Maximiliano David Banega","1988-06-29"
"Radja Nainggolan","1988-05-04"
"Marcelo Vieira da Silva Júnior","1988-05-12"
"Gareth Frank Bale","1989-07-16"
"Jan Bert Lieve Vertonghen","1987-04-24"
"Blaise Matuidi","1987-04-09"
"Carlos Alberto Vela Garrido","1989-03-01"
"Renato Soares de Oliveira Augusto","1988-02-08"
"Gonzalo Gerardo Higuaín","1987-12-10"
"Steve Mandanda","1985-03-28"
"João Filipe Iria Santos Moutinho","1986-09-08"
"Zlatan Ibrahimović","1981-10-03"
"Sergio Reguilón Rodríguez","1996-12-16"
"Jiří Pavlenka","1992-04-14"
"Josué Durval Chiamulera Vaz","1992-02-29"
"Raphael William Anjos Rochedo","1988-02-29"
"Fabián Ruiz Peña","1996-04-03"
"Giovani Lo Celso","1996-04-09"
"Marcos Llorente Moreno","1995-01-30"
"Nicolas Pépé","1995-05-29"
"Presnel Kimpembe","1995-08-13"
"David Soria Solís","1993-04-04"
"Robin Gosens","1994-07-05"
"Marco Asensio Willemsen","1996-01-21"
"Lucas Hernández Pi","1996-02-14"
"Djené Dakonam Ortega","1991-12-31"
"Andrej Kramarić","1991-06-19"
"Mike Maignan","1995-07-03"
"Gerónimo Rulli","1992-05-20"
"Ángel Martín Correa","1995-03-09"
"Anderson Souza Conceição","1994-02-01"
"Marcel Halstenberg","1991-09-27"
"Fernando Pacheco Flores","1992-05-18"
"Yannick Ferreira Carrasco","1993-09-04"
"Emre Can","1994-01-12"
"Matthias Ginter","1994-01-19"
"Lucas Ariel Ocampos","1994-07-11"
"Florian Thauvin","1993-01-26"
"Tomáš Vaclík","1989-03-29"
"Nick Pope","1992-04-19"
"Harry Maguire","1993-03-05"
"Karim Bellarabi","1990-04-08"
"Gabriel Armando de Abreu","1990-11-26"
"Álvaro Borja Morata Martín","1992-10-23"
"Agustín Federico Marchesín","1988-03-16"
"Lucas Rodrigues Moura da Silva","1992-08-13"
"Danilo Luís Hélio Pereira","1991-09-09"
"Steven Berghuis","1991-12-19"
"James David Rodríguez Rubio","1991-07-12"
"Rodrigo Moreno Machado","1991-03-06"
"Mattia Perin","1992-11-10"
"Norberto Murara Neto","1989-07-19"
"Oliver Baumann","1990-06-02"
"Mário Figueira Fernandes","1990-09-19"
"Alphonse Areola","1993-02-27"
"Daley Blind","1990-03-09"
"Sergio Canales Madrazo","1991-02-16"
"Aaron Ramsey","1990-12-26"
"Aleksandar Kolarov","1985-11-10"
"Marko Arnautović","1989-04-19"
"Néstor Fernando Muslera Micol","1986-06-16"
"Ivan Perišić","1989-02-02"
"Willian Borges da Silva","1988-08-09"
"Sergio Asenjo Andrés","1989-06-28"
"Lars Bender","1989-04-27"
"Dimitri Payet","1987-03-29"
"Mesut Özil","1988-10-15"
"Ivan Rakitić","1988-03-10"
"Raúl Albiol Tortajada","1985-09-04"
"Dominik Livaković","1995-01-09"
"Tomáš Souček","1995-02-27"
"Manuel Lazzari","1993-11-29"
"Raphael Dias Belloli","1996-12-14"
"Marvin Oswaldo Rangel Azevedo","1992-02-29"
"Nuno Ailton Padrenda Mendes","1996-02-29"
"Lourival Adnan Beretta Barbosa","1992-02-29"
"Adryan Juliano Zonta Torres","1992-02-29"
"Juan Everton Mestres de Mesquita","1996-02-29"
"Ben Chilwell","1996-12-21"
"Marko Dmitrović","1992-01-24"
"Benjamin Pavard","1996-03-28"
"Mikel Merino Zazón","1996-06-22"
"Gonçalo Manuel Ganchinho Guedes","1996-11-29"
"Lucas Torreira Di Pascua","1996-02-11"
"Wout Weghorst","1992-08-07"
"Éverton Sousa Soares","1996-03-22"
"Naby Deco Keïta","1995-02-10"
"Davinson Sánchez Mina","1996-06-12"
"James Maddison","1996-11-23"
"Matteo Politano","1993-08-03"
"Iñaki Williams Arthuer","1994-06-15"
"Ander Capa Rodríguez","1992-02-08"
"Ignacio Martín Fernández","1990-01-12"
"Carlos Joaquín Correa","1994-08-13"
"Walter Daniel Benítez","1993-01-19"
"Thomas Lemar","1995-11-12"
"Odisseas Vlachodimos","1994-04-26"
"Jonathan Castro Otto","1994-03-03"
"Adrien Rabiot","1995-04-03"
"Frederico Rodrigues Santos","1993-03-05"
"Quincy Anton Promes","1992-01-04"
"Marten de Roon","1991-03-29"
"Hakan Çalhanoğlu","1994-02-08"
"Josef Alexander Martínez","1993-05-19"
"Kepa Arrizabalaga Revuelta","1994-10-03"
"Luke Shaw","1995-07-12"
"Esteban Maximiliano Andrada","1991-01-26"
"Sébastien Haller","1994-06-22"
"Alessio Cragno","1994-06-28"
"Antonio Rüdiger","1993-03-03"
"Arkadiusz Milik","1994-02-28"
"Jordan Pickford","1994-03-07"
"Benjamin Mendy","1994-07-17"
"Stefan Savić","1991-01-08"
"Eran Zahavi","1987-07-25"
"Santiago Arias Naranjo","1992-01-13"
"Alessandro Florenzi","1991-03-11"
"Jesús Joaquín Fernández Sáez de la Torre","1993-11-19"
"Thomas Meunier","1991-09-12"
